epoch,batch,loss,lr
1,0,6.013775825500488,5e-05
1,1,5.869500160217285,4.998795761078998e-05
1,2,5.731907844543457,4.997591522157997e-05
1,3,5.6042280197143555,4.996387283236995e-05
1,4,5.503726005554199,4.995183044315993e-05
1,5,5.2542009353637695,4.9939788053949907e-05
1,6,5.295901775360107,4.9927745664739886e-05
1,7,4.9942216873168945,4.9915703275529865e-05
1,8,4.827017784118652,4.9903660886319845e-05
1,9,4.78272819519043,4.9891618497109824e-05
1,10,4.735836029052734,4.987957610789981e-05
1,11,4.482847213745117,4.986753371868979e-05
1,12,4.568748474121094,4.985549132947977e-05
1,13,4.474328994750977,4.9843448940269756e-05
1,14,4.5412797927856445,4.9831406551059735e-05
1,15,4.146065711975098,4.9819364161849715e-05
1,16,4.128911018371582,4.9807321772639694e-05
1,17,4.152879238128662,4.9795279383429674e-05
1,18,4.088655471801758,4.978323699421965e-05
1,19,4.049464702606201,4.977119460500963e-05
1,20,4.033021926879883,4.975915221579961e-05
1,21,4.0587897300720215,4.97471098265896e-05
1,22,3.7950639724731445,4.973506743737958e-05
1,23,3.801656484603882,4.972302504816956e-05
1,24,3.7769935131073,4.971098265895954e-05
1,25,3.944030284881592,4.969894026974952e-05
1,26,3.8085134029388428,4.96868978805395e-05
1,27,3.7442846298217773,4.967485549132948e-05
1,28,3.4901137351989746,4.966281310211947e-05
1,29,3.790861129760742,4.965077071290945e-05
1,30,3.6255574226379395,4.963872832369942e-05
1,31,3.5141968727111816,4.96266859344894e-05
1,32,3.4823861122131348,4.9614643545279386e-05
1,33,3.7432608604431152,4.9602601156069366e-05
1,34,3.660201072692871,4.9590558766859345e-05
1,35,3.552186965942383,4.9578516377649325e-05
1,36,3.6554784774780273,4.956647398843931e-05
1,37,3.7870850563049316,4.955443159922929e-05
1,38,3.527519702911377,4.954238921001927e-05
1,39,3.4543676376342773,4.9530346820809256e-05
1,40,3.292905807495117,4.9518304431599236e-05
1,41,3.48768949508667,4.9506262042389215e-05
1,42,3.329540252685547,4.9494219653179194e-05
1,43,3.390594482421875,4.9482177263969174e-05
1,44,2.983289957046509,4.9470134874759153e-05
1,45,2.9575564861297607,4.945809248554913e-05
1,46,2.810518503189087,4.944605009633911e-05
1,47,2.8245139122009277,4.94340077071291e-05
1,48,3.051981210708618,4.942196531791908e-05
1,49,2.960972547531128,4.940992292870906e-05
1,50,2.716909646987915,4.939788053949904e-05
1,51,2.717648983001709,4.938583815028902e-05
1,52,2.6313843727111816,4.9373795761079e-05
1,53,2.6406970024108887,4.936175337186898e-05
