epoch,batch,loss,lr
1,0,5.974712371826172,5e-05
1,1,5.814817428588867,4.998795761078998e-05
1,2,5.568410396575928,4.997591522157997e-05
1,3,5.429653167724609,4.996387283236995e-05
1,4,5.243147850036621,4.995183044315993e-05
1,5,5.098830699920654,4.9939788053949907e-05
1,6,4.854750156402588,4.9927745664739886e-05
1,7,4.831716060638428,4.9915703275529865e-05
1,8,4.623335838317871,4.9903660886319845e-05
1,9,4.571193695068359,4.9891618497109824e-05
1,10,4.515077590942383,4.987957610789981e-05
1,11,4.285694599151611,4.986753371868979e-05
1,12,4.307404518127441,4.985549132947977e-05
1,13,4.569124221801758,4.9843448940269756e-05
1,14,4.220522403717041,4.9831406551059735e-05
1,15,4.260834217071533,4.9819364161849715e-05
1,16,4.166323661804199,4.9807321772639694e-05
1,17,4.168606281280518,4.9795279383429674e-05
1,18,4.111173152923584,4.978323699421965e-05
1,19,4.144237041473389,4.977119460500963e-05
1,20,4.011320114135742,4.975915221579961e-05
1,21,4.004520416259766,4.97471098265896e-05
1,22,3.8206944465637207,4.973506743737958e-05
1,23,3.950315475463867,4.972302504816956e-05
1,24,3.719487190246582,4.971098265895954e-05
1,25,3.6457831859588623,4.969894026974952e-05
1,26,3.6512179374694824,4.96868978805395e-05
1,27,3.642927885055542,4.967485549132948e-05
1,28,3.86545991897583,4.966281310211947e-05
1,29,3.7956275939941406,4.965077071290945e-05
1,30,3.869790554046631,4.963872832369942e-05
1,31,3.6999711990356445,4.96266859344894e-05
1,32,3.543074607849121,4.9614643545279386e-05
1,33,3.8767852783203125,4.9602601156069366e-05
1,34,3.760105609893799,4.9590558766859345e-05
1,35,3.7146413326263428,4.9578516377649325e-05
1,36,3.4045886993408203,4.956647398843931e-05
1,37,3.4424448013305664,4.955443159922929e-05
1,38,3.3681440353393555,4.954238921001927e-05
1,39,3.391645908355713,4.9530346820809256e-05
1,40,3.311640739440918,4.9518304431599236e-05
1,41,3.35050892829895,4.9506262042389215e-05
1,42,3.509614944458008,4.9494219653179194e-05
1,43,3.1466755867004395,4.9482177263969174e-05
1,44,3.2064881324768066,4.9470134874759153e-05
1,45,3.309133529663086,4.945809248554913e-05
1,46,3.4810757637023926,4.944605009633911e-05
1,47,3.279115676879883,4.94340077071291e-05
1,48,3.134035110473633,4.942196531791908e-05
1,49,2.953763484954834,4.940992292870906e-05
1,50,2.8928208351135254,4.939788053949904e-05
1,51,2.757298469543457,4.938583815028902e-05
1,52,2.8283495903015137,4.9373795761079e-05
1,53,2.338517427444458,4.936175337186898e-05
1,54,2.926325798034668,4.934971098265896e-05
1,55,2.855527639389038,4.933766859344894e-05
1,56,3.1128487586975098,4.932562620423892e-05
1,57,2.7212281227111816,4.93135838150289e-05
1,58,3.021639347076416,4.9301541425818886e-05
1,59,2.836247444152832,4.9289499036608866e-05
1,60,2.4247944355010986,4.9277456647398845e-05
